[2022-06-25T23:43:33.105] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:43:40.375] [WARN] warn - { ruta: '/', metodo: 'GET' }
[2022-06-25T23:43:41.029] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:43:46.874] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:44:36.105] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:45:14.320] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:46:38.713] [WARN] warn - { ruta: '/', metodo: 'GET' }
[2022-06-25T23:46:39.085] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:46:43.890] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:49:22.597] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:50:09.453] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:50:31.226] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:52:09.910] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:52:30.051] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:53:23.938] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:54:03.595] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:54:59.167] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:55:58.204] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:56:46.323] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-25T23:56:46.419] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:56:55.321] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:57:24.550] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:58:13.359] [WARN] warn - { ruta: '/', metodo: 'GET' }
[2022-06-25T23:58:14.300] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-25T23:58:27.378] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T11:38:46.244] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-26T11:38:46.352] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T11:41:28.149] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-26T11:41:28.252] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T11:41:37.540] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T11:42:15.324] [WARN] warn - { ruta: '/', metodo: 'GET' }
[2022-06-26T11:42:15.857] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T11:42:21.554] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T11:44:17.830] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T11:45:47.071] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T11:45:56.098] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T11:46:37.914] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T11:51:17.294] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T11:54:27.971] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-26T11:54:28.090] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T11:54:37.942] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T11:56:02.989] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T11:57:18.535] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T11:59:06.320] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T12:00:55.543] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T12:01:27.672] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T12:02:12.441] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T12:03:10.044] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T12:04:10.999] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T12:06:39.467] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-26T12:06:39.552] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T12:06:49.262] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T12:11:11.271] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-26T12:11:11.898] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T12:11:19.126] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T12:12:06.601] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T12:13:00.537] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T12:18:44.334] [WARN] warn - { ruta: '/', metodo: 'GET' }
[2022-06-26T12:18:45.177] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T12:19:43.144] [WARN] warn - { ruta: '/', metodo: 'GET' }
[2022-06-26T12:19:46.517] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T12:20:10.206] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T12:20:23.910] [WARN] warn - { ruta: '/', metodo: 'GET' }
[2022-06-26T12:20:24.445] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T12:20:31.617] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
[2022-06-26T12:20:48.625] [WARN] warn - { ruta: '/login', metodo: 'GET' }
[2022-06-26T12:20:49.443] [WARN] warn - { ruta: '/assets/iconCel.ico', metodo: 'GET' }
